number,code,name,"full name"
1,1F600,"grinning face","grinning face; face; grin; grinning face"
2,1F603,"grinning face with big eyes","grinning face with big eyes; face; grinning face with big eyes; mouth; open; smile"
3,1F604,"grinning face with smiling eyes","grinning face with smiling eyes; eye; face; grinning face with smiling eyes; mouth; open; smile"
4,1F601,"beaming face with smiling eyes","beaming face with smiling eyes; beaming face with smiling eyes; eye; face; grin; smile"
5,1F606,"grinning squinting face","grinning squinting face; face; grinning squinting face; laugh; mouth; satisfied; smile"
6,1F605,"grinning face with sweat","grinning face with sweat; cold; face; grinning face with sweat; open; smile; sweat"
7,1F923,"rolling on the floor laughing","rolling on the floor laughing; face; floor; laugh; rolling; rolling on the floor laughing"
8,1F602,"face with tears of joy","face with tears of joy; face; face with tears of joy; joy; laugh; tear"
9,1F642,"slightly smiling face","slightly smiling face; face; slightly smiling face; smile"
10,1F643,"upside-down face","upside-down face; face; upside-down"
11,1F609,"winking face","winking face; face; wink; winking face"
12,1F60A,"smiling face with smiling eyes","smiling face with smiling eyes; blush; eye; face; smile; smiling face with smiling eyes"
13,1F607,"smiling face with halo","smiling face with halo; angel; face; fantasy; halo; innocent; smiling face with halo"
14,1F970,"smiling face with hearts","smiling face with hearts; adore; crush; hearts; in love; smiling face with hearts"
15,1F60D,"smiling face with heart-eyes","smiling face with heart-eyes; eye; face; love; smile; smiling face with heart-eyes"
16,1F929,star-struck,"star-struck; eyes; face; grinning; star; star-struck; starry-eyed"
17,1F618,"face blowing a kiss","face blowing a kiss; face; face blowing a kiss; kiss"
18,1F617,"kissing face","kissing face; face; kiss; kissing face"
19,263A,"smiling face","smiling face; face; outlined; relaxed; smile; smiling face"
20,1F61A,"kissing face with closed eyes","kissing face with closed eyes; closed; eye; face; kiss; kissing face with closed eyes"
21,1F619,"kissing face with smiling eyes","kissing face with smiling eyes; eye; face; kiss; kissing face with smiling eyes; smile"
22,1F972,"smiling face with tear","smiling face with tear; grateful; proud; relieved; smiling; smiling face with tear; tear; touched"
23,1F60B,"face savoring food","face savoring food; delicious; face; face savoring food; savouring; smile; yum"
24,1F61B,"face with tongue","face with tongue; face; face with tongue; tongue"
25,1F61C,"winking face with tongue","winking face with tongue; eye; face; joke; tongue; wink; winking face with tongue"
26,1F92A,"zany face","zany face; eye; goofy; large; small; zany face"
27,1F61D,"squinting face with tongue","squinting face with tongue; eye; face; horrible; squinting face with tongue; taste; tongue"
28,1F911,"money-mouth face","money-mouth face; face; money; money-mouth face; mouth"
29,1F917,"hugging face","hugging face; face; hug; hugging"
30,1F92D,"face with hand over mouth","face with hand over mouth; face with hand over mouth; whoops; shock; sudden realization; surprise"
31,1F92B,"shushing face","shushing face; quiet; shush; shushing face"
32,1F914,"thinking face","thinking face; face; thinking"
33,1F910,"zipper-mouth face","zipper-mouth face; face; mouth; zipper; zipper-mouth face"
34,1F928,"face with raised eyebrow","face with raised eyebrow; distrust; face with raised eyebrow; skeptic; disapproval; disbelief; mild surprise; scepticism"
35,1F610,"neutral face","neutral face; deadpan; face; meh; neutral"
36,1F611,"expressionless face","expressionless face; expressionless; face; inexpressive; meh; unexpressive"
37,1F636,"face without mouth","face without mouth; face; face without mouth; mouth; quiet; silent"
38,1F60F,"smirking face","smirking face; face; smirk; smirking face"
39,1F612,"unamused face","unamused face; face; unamused; unhappy"
40,1F644,"face with rolling eyes","face with rolling eyes; eyeroll; eyes; face; face with rolling eyes; rolling"
41,1F62C,"grimacing face","grimacing face; face; grimace; grimacing face"
42,1F925,"lying face","lying face; face; lie; lying face; pinocchio"
43,1F60C,"relieved face","relieved face; face; relieved"
44,1F614,"pensive face","pensive face; dejected; face; pensive"
45,1F62A,"sleepy face","sleepy face; face; sleep; sleepy face"
46,1F924,"drooling face","drooling face; drooling; face"
47,1F634,"sleeping face","sleeping face; face; sleep; sleeping face; zzz"
48,1F637,"face with medical mask","face with medical mask; cold; doctor; face; face with medical mask; mask; sick"
49,1F912,"face with thermometer","face with thermometer; face; face with thermometer; ill; sick; thermometer"
50,1F915,"face with head-bandage","face with head-bandage; bandage; face; face with head-bandage; hurt; injury"
51,1F922,"nauseated face","nauseated face; face; nauseated; vomit"
52,1F92E,"face vomiting","face vomiting; face vomiting; sick; vomit"
53,1F927,"sneezing face","sneezing face; face; gesundheit; sneeze; sneezing face"
54,1F975,"hot face","hot face; feverish; heat stroke; hot; hot face; red-faced; sweating"
55,1F976,"cold face","cold face; blue-faced; cold; cold face; freezing; frostbite; icicles"
56,1F974,"woozy face","woozy face; dizzy; intoxicated; tipsy; uneven eyes; wavy mouth; woozy face"
57,1F635,"dizzy face","dizzy face; dizzy; face"
58,1F92F,"exploding head","exploding head; exploding head; mind blown; shocked"
59,1F920,"cowboy hat face","cowboy hat face; cowboy; cowgirl; face; hat"
60,1F973,"partying face","partying face; celebration; hat; horn; party; partying face"
61,1F978,"disguised face","disguised face; disguise; disguised face; face; glasses; incognito; nose"
62,1F60E,"smiling face with sunglasses","smiling face with sunglasses; bright; cool; face; smiling face with sunglasses; sun; sunglasses"
63,1F913,"nerd face","nerd face; face; geek; nerd"
64,1F9D0,"face with monocle","face with monocle; face with monocle; stuffy; wealthy"
65,1F615,"confused face","confused face; confused; face; meh"
66,1F61F,"worried face","worried face; face; worried"
67,1F641,"slightly frowning face","slightly frowning face; face; frown; slightly frowning face"
68,2639,"frowning face","frowning face; face; frown; frowning face"
69,1F62E,"face with open mouth","face with open mouth; face; face with open mouth; mouth; open; sympathy"
70,1F62F,"hushed face","hushed face; face; hushed; stunned; surprised"
71,1F632,"astonished face","astonished face; astonished; face; shocked; totally"
72,1F633,"flushed face","flushed face; dazed; face; flushed"
73,1F97A,"pleading face","pleading face; begging; mercy; pleading face; puppy eyes"
74,1F626,"frowning face with open mouth","frowning face with open mouth; face; frown; frowning face with open mouth; mouth; open"
75,1F627,"anguished face","anguished face; anguished; face"
76,1F628,"fearful face","fearful face; face; fear; fearful; scared"
77,1F630,"anxious face with sweat","anxious face with sweat; anxious face with sweat; blue; cold; face; rushed; sweat"
78,1F625,"sad but relieved face","sad but relieved face; disappointed; face; relieved; sad but relieved face; whew"
79,1F622,"crying face","crying face; cry; crying face; face; sad; tear"
80,1F62D,"loudly crying face","loudly crying face; cry; face; loudly crying face; sad; sob; tear"
81,1F631,"face screaming in fear","face screaming in fear; face; face screaming in fear; fear; munch; scared; scream"
82,1F616,"confounded face","confounded face; confounded; face"
83,1F623,"persevering face","persevering face; face; persevere; persevering face"
84,1F61E,"disappointed face","disappointed face; disappointed; face"
85,1F613,"downcast face with sweat","downcast face with sweat; cold; downcast face with sweat; face; sweat"
86,1F629,"weary face","weary face; face; tired; weary"
87,1F62B,"tired face","tired face; face; tired"
88,1F971,"yawning face","yawning face; bored; tired; yawn; yawning face"
89,1F624,"face with steam from nose","face with steam from nose; face; face with steam from nose; triumph; won"
90,1F621,"pouting face","pouting face; angry; face; mad; pouting; rage; red"
91,1F620,"angry face","angry face; angry; face; mad"
92,1F92C,"face with symbols on mouth","face with symbols on mouth; face with symbols on mouth; swearing; cursing"
93,1F608,"smiling face with horns","smiling face with horns; face; fairy tale; fantasy; horns; smile; smiling face with horns"
94,1F47F,"angry face with horns","angry face with horns; angry face with horns; demon; devil; face; fantasy; imp"
95,1F480,skull,"skull; death; face; fairy tale; monster; skull"
96,2620,"skull and crossbones","skull and crossbones; crossbones; death; face; monster; skull; skull and crossbones"
97,1F4A9,"pile of poo","pile of poo; dung; face; monster; pile of poo; poo; poop"
98,1F921,"clown face","clown face; clown; face"
99,1F479,ogre,"ogre; creature; face; fairy tale; fantasy; monster; ogre; troll"
100,1F47A,goblin,"goblin; creature; face; fairy tale; fantasy; goblin; monster"
101,1F47B,ghost,"ghost; creature; face; fairy tale; fantasy; ghost; monster"
102,1F47D,alien,"alien; alien; creature; extraterrestrial; face; fantasy; ufo"
103,1F47E,"alien monster","alien monster; alien; creature; extraterrestrial; face; monster; ufo"
104,1F916,robot,"robot; face; monster; robot"
105,1F63A,"grinning cat","grinning cat; cat; face; grinning; mouth; open; smile"
106,1F638,"grinning cat with smiling eyes","grinning cat with smiling eyes; cat; eye; face; grin; grinning cat with smiling eyes; smile"
107,1F639,"cat with tears of joy","cat with tears of joy; cat; cat with tears of joy; face; joy; tear"
108,1F63B,"smiling cat with heart-eyes","smiling cat with heart-eyes; cat; eye; face; heart; love; smile; smiling cat with heart-eyes"
109,1F63C,"cat with wry smile","cat with wry smile; cat; cat with wry smile; face; ironic; smile; wry"
110,1F63D,"kissing cat","kissing cat; cat; eye; face; kiss; kissing cat"
111,1F640,"weary cat","weary cat; cat; face; oh; surprised; weary"
112,1F63F,"crying cat","crying cat; cat; cry; crying cat; face; sad; tear"
113,1F63E,"pouting cat","pouting cat; cat; face; pouting"
114,1F648,"see-no-evil monkey","see-no-evil monkey; evil; face; forbidden; monkey; see; see-no-evil monkey"
115,1F649,"hear-no-evil monkey","hear-no-evil monkey; evil; face; forbidden; hear; hear-no-evil monkey; monkey"
116,1F64A,"speak-no-evil monkey","speak-no-evil monkey; evil; face; forbidden; monkey; speak; speak-no-evil monkey"
117,1F48B,"kiss mark","kiss mark; kiss; kiss mark; lips"
118,1F48C,"love letter","love letter; heart; letter; love; mail"
119,1F498,"heart with arrow","heart with arrow; arrow; cupid; heart with arrow"
120,1F49D,"heart with ribbon","heart with ribbon; heart with ribbon; ribbon; valentine"
121,1F496,"sparkling heart","sparkling heart; excited; sparkle; sparkling heart"
122,1F497,"growing heart","growing heart; excited; growing; growing heart; nervous; pulse"
123,1F493,"beating heart","beating heart; beating; beating heart; heartbeat; pulsating"
124,1F49E,"revolving hearts","revolving hearts; revolving; revolving hearts"
125,1F495,"two hearts","two hearts; love; two hearts"
126,1F49F,"heart decoration","heart decoration; heart; heart decoration"
127,2763,"heart exclamation","heart exclamation; exclamation; heart exclamation; mark; punctuation"
128,1F494,"broken heart","broken heart; break; broken; broken heart"
129,2764,"red heart","red heart; heart; red heart"
130,1F9E1,"orange heart","orange heart; orange; orange heart"
131,1F49B,"yellow heart","yellow heart; yellow; yellow heart"
132,1F49A,"green heart","green heart; green; green heart"
133,1F499,"blue heart","blue heart; blue; blue heart"
134,1F49C,"purple heart","purple heart; purple; purple heart"
135,1F90E,"brown heart","brown heart; brown; heart"
136,1F5A4,"black heart","black heart; black; black heart; evil; wicked"
137,1F90D,"white heart","white heart; heart; white"
138,1F4AF,"hundred points","hundred points; 100; full; hundred; hundred points; score"
139,1F4A2,"anger symbol","anger symbol; anger symbol; angry; comic; mad"
140,1F4A5,collision,"collision; boom; collision; comic"
141,1F4AB,dizzy,"dizzy; comic; dizzy; star"
142,1F4A6,"sweat droplets","sweat droplets; comic; splashing; sweat; sweat droplets"
143,1F4A8,"dashing away","dashing away; comic; dash; dashing away; running"
144,1F573,hole,"hole; hole"
145,1F4A3,bomb,"bomb; bomb; comic"
146,1F4AC,"speech balloon","speech balloon; balloon; bubble; comic; dialog; speech"
147,1F441-FE0F-200D-1F5E8-FE0F,"eye in speech bubble","eye in speech bubble; eye; eye in speech bubble; speech bubble; witness"
148,1F5E8,"left speech bubble","left speech bubble; dialog; left speech bubble; speech"
149,1F5EF,"right anger bubble","right anger bubble; angry; balloon; bubble; mad; right anger bubble"
150,1F4AD,"thought balloon","thought balloon; balloon; bubble; comic; thought"
151,1F4A4,zzz,"zzz; comic; sleep; zzz"
152,1F44B,"waving hand","waving hand; hand; wave; waving"
153,1F91A,"raised back of hand","raised back of hand; backhand; raised; raised back of hand"
154,1F590,"hand with fingers splayed","hand with fingers splayed; finger; hand; hand with fingers splayed; splayed"
155,270B,"raised hand","raised hand; hand; raised hand"
156,1F596,"vulcan salute","vulcan salute; finger; hand; spock; vulcan; vulcan salute"
157,1F44C,"ok hand","ok hand; hand; ok"
158,1F90C,"pinched fingers","pinched fingers; fingers; hand gesture; interrogation; pinched; sarcastic"
159,1F90F,"pinching hand","pinching hand; pinching hand; small amount"
160,270C,"victory hand","victory hand; hand; v; victory"
161,1F91E,"crossed fingers","crossed fingers; cross; crossed fingers; finger; hand; luck"
162,1F91F,"love-you gesture","love-you gesture; hand; ily; love-you gesture"
163,1F918,"sign of the horns","sign of the horns; finger; hand; horns; rock-on; sign of the horns"
164,1F919,"call me hand","call me hand; call; call me hand; hand"
165,1F448,"backhand index pointing left","backhand index pointing left; backhand; backhand index pointing left; finger; hand; index; point"
166,1F449,"backhand index pointing right","backhand index pointing right; backhand; backhand index pointing right; finger; hand; index; point"
167,1F446,"backhand index pointing up","backhand index pointing up; backhand; backhand index pointing up; finger; hand; point; up"
168,1F595,"middle finger","middle finger; finger; hand; middle finger"
169,1F447,"backhand index pointing down","backhand index pointing down; backhand; backhand index pointing down; down; finger; hand; point"
170,261D,"index pointing up","index pointing up; finger; hand; index; index pointing up; point; up"
171,1F44D,"thumbs up","thumbs up; +1; hand; thumb; thumbs up; up"
172,1F44E,"thumbs down","thumbs down; -1; down; hand; thumb; thumbs down"
173,270A,"raised fist","raised fist; clenched; fist; hand; punch; raised fist"
174,1F44A,"oncoming fist","oncoming fist; clenched; fist; hand; oncoming fist; punch"
175,1F91B,"left-facing fist","left-facing fist; fist; left-facing fist; leftwards"
176,1F91C,"right-facing fist","right-facing fist; fist; right-facing fist; rightwards"
177,1F44F,"clapping hands","clapping hands; clap; clapping hands; hand"
178,1F64C,"raising hands","raising hands; celebration; gesture; hand; hooray; raised; raising hands"
179,1F450,"open hands","open hands; hand; open; open hands"
180,1F932,"palms up together","palms up together; palms up together; prayer; cupped hands"
181,1F91D,handshake,"handshake; agreement; hand; handshake; meeting; shake"
182,1F64F,"folded hands","folded hands; ask; folded hands; hand; please; pray; thanks"
183,270D,"writing hand","writing hand; hand; write; writing hand"
184,1F485,"nail polish","nail polish; care; cosmetics; manicure; nail; polish"
185,1F933,selfie,"selfie; camera; phone; selfie"
186,1F4AA,"flexed biceps","flexed biceps; biceps; comic; flex; flexed biceps; muscle"
187,1F9BE,"mechanical arm","mechanical arm; accessibility; mechanical arm; prosthetic"
188,1F9BF,"mechanical leg","mechanical leg; accessibility; mechanical leg; prosthetic"
189,1F9B5,leg,"leg; kick; leg; limb"
190,1F9B6,foot,"foot; foot; kick; stomp"
191,1F442,ear,"ear; body; ear"
192,1F9BB,"ear with hearing aid","ear with hearing aid; accessibility; ear with hearing aid; hard of hearing"
193,1F443,nose,"nose; body; nose"
194,1F9E0,brain,"brain; brain; intelligent"
195,1FAC0,"anatomical heart","anatomical heart; anatomical; cardiology; heart; organ; pulse"
196,1FAC1,lungs,"lungs; breath; exhalation; inhalation; lungs; organ; respiration"
197,1F9B7,tooth,"tooth; dentist; tooth"
198,1F9B4,bone,"bone; bone; skeleton"
199,1F440,eyes,"eyes; eye; eyes; face"
200,1F441,eye,"eye; body; eye"
201,1F445,tongue,"tongue; body; tongue"
202,1F444,mouth,"mouth; lips; mouth"
203,1F476,baby,"baby; baby; young"
204,1F9D2,child,"child; child; gender-neutral; unspecified gender; young"
205,1F466,boy,"boy; boy; young"
206,1F467,girl,"girl; girl; virgo; young; zodiac"
207,1F9D1,person,"person; adult; gender-neutral; person; unspecified gender"
208,1F471,"person: blond hair","person: blond hair; blond; blond-haired person; hair; person: blond hair"
209,1F468,man,"man; adult; man"
210,1F9D4,"man: beard","man: beard; beard; man; man: beard; person; bewhiskered"
211,1F468-200D-1F9B0,"man: red hair","man: red hair; adult; man; red hair"
212,1F468-200D-1F9B1,"man: curly hair","man: curly hair; adult; curly hair; man"
213,1F468-200D-1F9B3,"man: white hair","man: white hair; adult; man; white hair"
214,1F468-200D-1F9B2,"man: bald","man: bald; adult; bald; man"
215,1F469,woman,"woman; adult; woman"
216,1F469-200D-1F9B0,"woman: red hair","woman: red hair; adult; red hair; woman"
217,1F9D1-200D-1F9B0,"person: red hair","person: red hair; adult; gender-neutral; person; red hair; unspecified gender"
218,1F469-200D-1F9B1,"woman: curly hair","woman: curly hair; adult; curly hair; woman"
219,1F9D1-200D-1F9B1,"person: curly hair","person: curly hair; adult; curly hair; gender-neutral; person; unspecified gender"
220,1F469-200D-1F9B3,"woman: white hair","woman: white hair; adult; white hair; woman"
221,1F9D1-200D-1F9B3,"person: white hair","person: white hair; adult; gender-neutral; person; unspecified gender; white hair"
222,1F469-200D-1F9B2,"woman: bald","woman: bald; adult; bald; woman"
223,1F9D1-200D-1F9B2,"person: bald","person: bald; adult; bald; gender-neutral; person; unspecified gender"
224,1F471-200D-2640-FE0F,"woman: blond hair","woman: blond hair; blond-haired woman; blonde; hair; woman; woman: blond hair"
225,1F471-200D-2642-FE0F,"man: blond hair","man: blond hair; blond; blond-haired man; hair; man; man: blond hair"
226,1F9D3,"older person","older person; adult; gender-neutral; old; older person; unspecified gender"
227,1F474,"old man","old man; adult; man; old"
228,1F475,"old woman","old woman; adult; old; woman"
229,1F64D,"person frowning","person frowning; frown; gesture; person frowning"
230,1F64D-200D-2642-FE0F,"man frowning","man frowning; frowning; gesture; man"
231,1F64D-200D-2640-FE0F,"woman frowning","woman frowning; frowning; gesture; woman"
232,1F64E,"person pouting","person pouting; gesture; person pouting; pouting"
233,1F64E-200D-2642-FE0F,"man pouting","man pouting; gesture; man; pouting"
234,1F64E-200D-2640-FE0F,"woman pouting","woman pouting; gesture; pouting; woman"
235,1F645,"person gesturing no","person gesturing no; forbidden; gesture; hand; person gesturing no; prohibited"
236,1F645-200D-2642-FE0F,"man gesturing no","man gesturing no; forbidden; gesture; hand; man; man gesturing no; prohibited"
237,1F645-200D-2640-FE0F,"woman gesturing no","woman gesturing no; forbidden; gesture; hand; prohibited; woman; woman gesturing no"
238,1F646,"person gesturing ok","person gesturing ok; gesture; hand; ok; person gesturing ok"
239,1F646-200D-2642-FE0F,"man gesturing ok","man gesturing ok; gesture; hand; man; man gesturing ok; ok"
240,1F646-200D-2640-FE0F,"woman gesturing ok","woman gesturing ok; gesture; hand; ok; woman; woman gesturing ok"
241,1F481,"person tipping hand","person tipping hand; hand; help; information; person tipping hand; sassy; tipping"
242,1F481-200D-2642-FE0F,"man tipping hand","man tipping hand; man; man tipping hand; sassy; tipping hand"
243,1F481-200D-2640-FE0F,"woman tipping hand","woman tipping hand; sassy; tipping hand; woman; woman tipping hand"
244,1F64B,"person raising hand","person raising hand; gesture; hand; happy; person raising hand; raised"
245,1F64B-200D-2642-FE0F,"man raising hand","man raising hand; gesture; man; man raising hand; raising hand"
246,1F64B-200D-2640-FE0F,"woman raising hand","woman raising hand; gesture; raising hand; woman; woman raising hand"
247,1F9CF,"deaf person","deaf person; accessibility; deaf; deaf person; ear; hear"
248,1F9CF-200D-2642-FE0F,"deaf man","deaf man; deaf; man"
249,1F9CF-200D-2640-FE0F,"deaf woman","deaf woman; deaf; woman"
250,1F647,"person bowing","person bowing; apology; bow; gesture; person bowing; sorry"
251,1F647-200D-2642-FE0F,"man bowing","man bowing; apology; bowing; favor; gesture; man; sorry"
252,1F647-200D-2640-FE0F,"woman bowing","woman bowing; apology; bowing; favor; gesture; sorry; woman"
253,1F926,"person facepalming","person facepalming; disbelief; exasperation; face; palm; person facepalming"
254,1F926-200D-2642-FE0F,"man facepalming","man facepalming; disbelief; exasperation; facepalm; man; man facepalming"
255,1F926-200D-2640-FE0F,"woman facepalming","woman facepalming; disbelief; exasperation; facepalm; woman; woman facepalming"
256,1F937,"person shrugging","person shrugging; doubt; ignorance; indifference; person shrugging; shrug"
257,1F937-200D-2642-FE0F,"man shrugging","man shrugging; doubt; ignorance; indifference; man; man shrugging; shrug"
258,1F937-200D-2640-FE0F,"woman shrugging","woman shrugging; doubt; ignorance; indifference; shrug; woman; woman shrugging"
259,1F9D1-200D-2695-FE0F,"health worker","health worker; doctor; health worker; healthcare; nurse; therapist"
260,1F468-200D-2695-FE0F,"man health worker","man health worker; doctor; healthcare; man; man health worker; nurse; therapist"
261,1F469-200D-2695-FE0F,"woman health worker","woman health worker; doctor; healthcare; nurse; therapist; woman; woman health worker"
262,1F9D1-200D-1F393,student,"student; graduate; student"
263,1F468-200D-1F393,"man student","man student; graduate; man; student"
264,1F469-200D-1F393,"woman student","woman student; graduate; student; woman"
265,1F9D1-200D-1F3EB,teacher,"teacher; instructor; professor; teacher"
266,1F468-200D-1F3EB,"man teacher","man teacher; instructor; man; professor; teacher"
267,1F469-200D-1F3EB,"woman teacher","woman teacher; instructor; professor; teacher; woman"
268,1F9D1-200D-2696-FE0F,judge,"judge; judge; scales"
269,1F468-200D-2696-FE0F,"man judge","man judge; justice; man; man judge; scales"
270,1F469-200D-2696-FE0F,"woman judge","woman judge; judge; scales; woman"
271,1F9D1-200D-1F33E,farmer,"farmer; farmer; gardener; rancher"
272,1F468-200D-1F33E,"man farmer","man farmer; farmer; gardener; man; rancher"
273,1F469-200D-1F33E,"woman farmer","woman farmer; farmer; gardener; rancher; woman"
274,1F9D1-200D-1F373,cook,"cook; chef; cook"
275,1F468-200D-1F373,"man cook","man cook; chef; cook; man"
276,1F469-200D-1F373,"woman cook","woman cook; chef; cook; woman"
277,1F9D1-200D-1F527,mechanic,"mechanic; electrician; mechanic; plumber; tradesperson"
278,1F468-200D-1F527,"man mechanic","man mechanic; electrician; man; mechanic; plumber; tradesperson"
279,1F469-200D-1F527,"woman mechanic","woman mechanic; electrician; mechanic; plumber; tradesperson; woman"
280,1F9D1-200D-1F3ED,"factory worker","factory worker; assembly; factory; industrial; worker"
281,1F468-200D-1F3ED,"man factory worker","man factory worker; assembly; factory; industrial; man; worker"
282,1F469-200D-1F3ED,"woman factory worker","woman factory worker; assembly; factory; industrial; woman; worker"
283,1F9D1-200D-1F4BC,"office worker","office worker; architect; business; manager; office worker; white-collar"
284,1F468-200D-1F4BC,"man office worker","man office worker; architect; business; man; man office worker; manager; white-collar"
285,1F469-200D-1F4BC,"woman office worker","woman office worker; architect; business; manager; white-collar; woman; woman office worker"
286,1F9D1-200D-1F52C,scientist,"scientist; biologist; chemist; engineer; physicist; scientist"
287,1F468-200D-1F52C,"man scientist","man scientist; biologist; chemist; engineer; man; physicist; scientist"
288,1F469-200D-1F52C,"woman scientist","woman scientist; biologist; chemist; engineer; physicist; scientist; woman"
289,1F9D1-200D-1F4BB,technologist,"technologist; coder; developer; inventor; software; technologist"
290,1F468-200D-1F4BB,"man technologist","man technologist; coder; developer; inventor; man; software; technologist"
291,1F469-200D-1F4BB,"woman technologist","woman technologist; coder; developer; inventor; software; technologist; woman"
292,1F9D1-200D-1F3A4,singer,"singer; actor; entertainer; rock; singer; star"
293,1F468-200D-1F3A4,"man singer","man singer; actor; entertainer; man; rock; singer; star"
294,1F469-200D-1F3A4,"woman singer","woman singer; actor; entertainer; rock; singer; star; woman"
295,1F9D1-200D-1F3A8,artist,"artist; artist; palette"
296,1F468-200D-1F3A8,"man artist","man artist; artist; man; palette"
297,1F469-200D-1F3A8,"woman artist","woman artist; artist; palette; woman"
298,1F9D1-200D-2708-FE0F,pilot,"pilot; pilot; plane"
299,1F468-200D-2708-FE0F,"man pilot","man pilot; man; pilot; plane"
300,1F469-200D-2708-FE0F,"woman pilot","woman pilot; pilot; plane; woman"
301,1F9D1-200D-1F680,astronaut,"astronaut; astronaut; rocket"
302,1F468-200D-1F680,"man astronaut","man astronaut; astronaut; man; rocket"
303,1F469-200D-1F680,"woman astronaut","woman astronaut; astronaut; rocket; woman"
304,1F9D1-200D-1F692,firefighter,"firefighter; firefighter; firetruck"
305,1F468-200D-1F692,"man firefighter","man firefighter; firefighter; firetruck; man"
306,1F469-200D-1F692,"woman firefighter","woman firefighter; firefighter; firetruck; woman"
307,1F46E,"police officer","police officer; cop; officer; police"
308,1F46E-200D-2642-FE0F,"man police officer","man police officer; cop; man; officer; police"
309,1F46E-200D-2640-FE0F,"woman police officer","woman police officer; cop; officer; police; woman"
310,1F575,detective,"detective; detective; sleuth; spy"
311,1F575-FE0F-200D-2642-FE0F,"man detective","man detective; detective; man; sleuth; spy"
312,1F575-FE0F-200D-2640-FE0F,"woman detective","woman detective; detective; sleuth; spy; woman"
313,1F482,guard,"guard; guard"
314,1F482-200D-2642-FE0F,"man guard","man guard; guard; man"
315,1F482-200D-2640-FE0F,"woman guard","woman guard; guard; woman"
316,1F977,ninja,"ninja; fighter; hidden; ninja; stealth"
317,1F477,"construction worker","construction worker; construction; hat; worker"
318,1F477-200D-2642-FE0F,"man construction worker","man construction worker; construction; man; worker"
319,1F477-200D-2640-FE0F,"woman construction worker","woman construction worker; construction; woman; worker"
320,1F934,prince,"prince; prince"
321,1F478,princess,"princess; fairy tale; fantasy; princess"
322,1F473,"person wearing turban","person wearing turban; person wearing turban; turban"
323,1F473-200D-2642-FE0F,"man wearing turban","man wearing turban; man; man wearing turban; turban"
324,1F473-200D-2640-FE0F,"woman wearing turban","woman wearing turban; turban; woman; woman wearing turban"
325,1F472,"person with skullcap","person with skullcap; cap; gua pi mao; hat; person; person with skullcap; skullcap"
326,1F9D5,"woman with headscarf","woman with headscarf; headscarf; hijab; mantilla; tichel; woman with headscarf; bandana; head kerchief"
327,1F935,"person in tuxedo","person in tuxedo; groom; person; person in tuxedo; tuxedo"
328,1F935-200D-2642-FE0F,"man in tuxedo","man in tuxedo; man; man in tuxedo; tuxedo"
329,1F935-200D-2640-FE0F,"woman in tuxedo","woman in tuxedo; tuxedo; woman; woman in tuxedo"
330,1F470,"person with veil","person with veil; bride; person; person with veil; veil; wedding"
331,1F470-200D-2642-FE0F,"man with veil","man with veil; man; man with veil; veil"
332,1F470-200D-2640-FE0F,"woman with veil","woman with veil; veil; woman; woman with veil"
333,1F930,"pregnant woman","pregnant woman; pregnant; woman"
334,1F931,breast-feeding,"breast-feeding; baby; breast; breast-feeding; nursing"
335,1F469-200D-1F37C,"woman feeding baby","woman feeding baby; baby; feeding; nursing; woman"
336,1F468-200D-1F37C,"man feeding baby","man feeding baby; baby; feeding; man; nursing"
337,1F9D1-200D-1F37C,"person feeding baby","person feeding baby; baby; feeding; nursing; person; person feeding baby"
338,1F47C,"baby angel","baby angel; angel; baby; face; fairy tale; fantasy"
339,1F385,"santa claus","santa claus; celebration; christmas; claus; father; santa; santa claus"
340,1F936,"mrs. claus","mrs. claus; celebration; christmas; claus; mother; mrs.; mrs. claus"
341,1F9D1-200D-1F384,"mx claus","mx claus; claus; christmas; mx claus"
342,1F9B8,superhero,"superhero; good; hero; heroine; superhero; superpower"
343,1F9B8-200D-2642-FE0F,"man superhero","man superhero; good; hero; man; man superhero; superpower"
344,1F9B8-200D-2640-FE0F,"woman superhero","woman superhero; good; hero; heroine; superpower; woman; woman superhero"
345,1F9B9,supervillain,"supervillain; criminal; evil; superpower; supervillain; villain"
346,1F9B9-200D-2642-FE0F,"man supervillain","man supervillain; criminal; evil; man; man supervillain; superpower; villain"
347,1F9B9-200D-2640-FE0F,"woman supervillain","woman supervillain; criminal; evil; superpower; villain; woman; woman supervillain"
348,1F9D9,mage,"mage; mage; sorcerer; sorceress; witch; wizard"
349,1F9D9-200D-2642-FE0F,"man mage","man mage; man mage; sorcerer; wizard"
350,1F9D9-200D-2640-FE0F,"woman mage","woman mage; sorceress; witch; woman mage"
351,1F9DA,fairy,"fairy; fairy; oberon; puck; titania"
352,1F9DA-200D-2642-FE0F,"man fairy","man fairy; man fairy; oberon; puck"
353,1F9DA-200D-2640-FE0F,"woman fairy","woman fairy; titania; woman fairy"
354,1F9DB,vampire,"vampire; dracula; undead; vampire"
355,1F9DB-200D-2642-FE0F,"man vampire","man vampire; dracula; man vampire; undead"
356,1F9DB-200D-2640-FE0F,"woman vampire","woman vampire; undead; woman vampire"
357,1F9DC,merperson,"merperson; mermaid; merman; merperson; merwoman"
358,1F9DC-200D-2642-FE0F,merman,"merman; merman; triton"
359,1F9DC-200D-2640-FE0F,mermaid,"mermaid; mermaid; merwoman"
